symbol,symbolName,fullName,shortJobTitle,transactionType,amount,reportedPrice,usdValue,eodHolding,date,symbolCode,hasOptions,symbolType
OSIS,O S I Systems Inc,Paul Keith Morben,Pres.,Sell,416,279.1,116105,8540.0,2025-11-07,STK,Yes,1
UP,Wheels Up Experience Inc,Meaghan Danielle Wells,Chf Dev. Off.,Sell,47931,1.22,58475,526681.0,2025-11-07,STK,Yes,1
UP,Wheels Up Experience Inc,Mark Briffa,Chf Sales Off.,Sell,86813,1.23,106780,866670.0,2025-11-07,STK,Yes,1
LENZ,Lenz Therapeutics Inc,Daniel R Chevallard,CFO,Buy,2198,22.7557,50018,5386.0,2025-11-07,STK,Yes,1
TDUP,Thredup Inc Cl A,James G Reinhart,CEO,Sell,379826,7.932,3012780,573851.0,2025-11-07,STK,Yes,1
TDUP,Thredup Inc Cl A,James G Reinhart,CEO,Sell,200000,7.9492,1589840,0.0,2025-11-07,STK,Yes,1
TRNO,Terreno Realty Corp,John Tull Meyer,COO,Sell,4758,59.95,285242,187263.0,2025-11-07,STK,Yes,1
AKAM,Akamai Technologies,Dr Robert Blumofe,CTO,Sell,3500,86.0,301000,24474.0,2025-11-07,STK,Yes,1
JPM,JP Morgan Chase & Company,Robin Leopold,HR,Sell,966,311.9162,301311,77145.0,2025-11-07,STK,Yes,1
FHI,Federated Investors,Peter J Germain,CLO,Sell,5000,49.2242,246121,206324.0,2025-11-07,STK,Yes,1
NGS,Natural Gas Services Group,Stephen Charles Taylor,Chair Emeritus,Sell,11252,29.0575,326955,478393.0,2025-11-07,STK,Yes,1
SRE,Sempra,Alexander Lisa Larroque,Corp Aff,Sell,4322,92.55,400002,11325.0,2025-11-07,STK,Yes,1
RGT,Royce Global Trust Inc,Charles M Royce,Sr. Adviser,Sell,10564,12.554,132621,805764.0,2025-11-07,UIT,No,11
KNX,Knight-Swift Transporation Inc,Cary M Flanagan,CAO,Sell,4300,45.0393,193669,5644.0,2025-11-07,STK,Yes,1
GLRE,Greenlight Cap. Re.,Thomas James Curnock,ChfUn'writingOff,Sell,9942,12.58,125070,169890.0,2025-11-07,STK,Yes,1
AVBC,Avidia Bancorp Inc,Michael Dennis Murphy,Chair,Buy,10000,15.1175,151174,70000.0,2025-11-07,STK,No,1
TK,Teekay Corporation Ltd,Heidi Locke Simon,Chair,Sell,47577,9.6743,460274,2021378.1586314156,2025-11-07,STK,Yes,1
AL,Air Lease Corp Cl A,Gregory B Willis,CFO,Sell,23481,63.8303,1498800,56408.0,2025-11-06,STK,Yes,1
S,Sentinelone Inc Cl A,Tomer Weingarten,Chair & CEO,Sell,57941,16.4135,951015,1251780.0,2025-11-06,STK,Yes,1
NXGL,Nexgel Inc,Adam Levy,CEO,Sell,4000,2.5211,10084,367692.0,2025-11-06,STK,No,1
THC,Tenet Healthcare Corp,R Scott Ramsey,PAO,Sell,13322,205.1073,2732440,0.0,2025-11-06,STK,Yes,1
CDNS,Cadence Design Sys,Chin-Chi Teng,GM,Sell,3400,324.94,1104796,123381.0,2025-11-06,STK,Yes,1
KTOS,Kratos Defense & Security Inc,David M Carter,Div. Pres.,Sell,4000,73.6395,294558,89809.0,2025-11-06,STK,Yes,1
U,Unity Software Inc,Jarrod Yahes,CFO,Sell,15000,41.1496,617244,623504.0,2025-11-06,STK,Yes,1
MEC,Mayville Engineering Company,Craig D Nichols,Ops,Award,1134,0.0,18927,1134.0,2025-11-06,STK,Yes,1
EXPI,eXp World Holdings Inc,Leonardo Pareja,Subs CEO,Award,9371,0.0,90899,34684.0,2025-11-06,STK,Yes,1
IHT,Innsuites Hospitality Trust,James F Wirth,Chair & CEO,Sell,22500,1.4851,33415,6091796.0,2025-11-06,STK,No,1
TREX,Trex Company,Amy M Fernandez,CLO & Sec.,Award,29198,0.0,932000,52151.0,2025-11-06,STK,Yes,1
TEAM,Atlassian Corp,Michael Cannon-Brookes,CEO,Sell,7665,155.8814,1194831,283605.0,2025-11-06,STK,Yes,1
PEGA,Pegasystems Inc,Alan Trefler,Chair & CEO,Sell,90000,59.3528,5341752,77375183.0,2025-11-06,STK,Yes,1
CRL,Charles River Laboratories Intl,Michael Gunnar Knell,Int CFO & CAO,Award,2926,0.0,499995,13460.0,2025-11-06,STK,Yes,1
NCDL,Nuveen Churchill Direct Lending Corp,Kenneth J Kencel,Chair & CEO,Buy,20000,14.22,284400,103058.0,2025-11-06,STK,No,1
IONS,Ionis Pharmaceuticals,Brian Birchler,Dev.,Sell,8000,76.1724,609379,48826.0,2025-11-06,STK,Yes,1
NTRS,Northern Trust Corp,Steven Fradkin,V.Chair,Sell,9376,128.0,1200128,250109.0,2025-11-06,STK,Yes,1
YELP,Yelp Inc,Joseph (Jed) R Nachman,COO,Sell,7000,32.1552,225087,212668.0,2025-11-06,STK,Yes,1
PMTS,CPI Card Group,Sanford H Riley,Chair,Buy,10000,14.1999,141999,51457.0,2025-11-06,STK,No,1
ZOMDF,Zomedica Corp,Russell Kevin Klass,Sales,Buy,253007,0.08,20240,5509101.0,2025-11-06,STK:OTC,No,1
EBAY,Ebay Inc,Jamie Iannone,CEO,Sell,14442,81.0662,1170758,446617.0,2025-11-06,STK,Yes,1
BWB,Bridgewater Bancshares Inc,Lisa M Salazar,COO,Sell,2175,16.72,36367,32091.0,2025-11-06,STK,Yes,1
COF,Capital One Financial Corp,Neal Blinde,Div. Exec,Sell,43200,221.83,9583056,73020.0,2025-11-06,STK,Yes,1
TBLA,Taboola.com Ltd,Eldad Maniv,COO,Sell,424861,3.7793,1605677,10392460.0,2025-11-06,STK,Yes,1
CUBI,Customers Bancorp,Jay S Sidhu,Chair & CEO,Sell,23435,67.7579,1587907,1524234.0,2025-11-06,STK,Yes,1
RDNW,Ridenow Group Inc,Joshua J Barsetti,CFO & EVP,Award,182000,0.0,746200,182000.0,2025-11-06,STK,Yes,1
NTCT,Netscout Systems,John Downing,Sales & Ops,Sell,1238,30.0,37140,135494.0,2025-11-06,STK,Yes,1
MORN,Morningstar Inc,Joseph D Mansueto,Chair,Sell,11343,211.2436,2396136,14773431.0,2025-11-06,STK,Yes,1
COLL,Collegium Pharma,Colleen Tupper,CFO,Sell,30000,40.5251,1215753,126667.0,2025-11-06,STK,Yes,1
CNP,Centerpoint Energy Inc,Phillip R Smith,Chair,Sell,6200,38.83,240746,65577.0,2025-11-06,STK,Yes,1
TREX,Trex Company,Prithvi Gandhi,CFO & PAO,Award,15664,0.0,499995,15664.0,2025-11-06,STK,Yes,1
NPO,Enpro Inc,Eric A Vaillancourt,CEO,Sell,2272,227.0,515744,41036.0,2025-11-06,STK,Yes,1
JCI,Johnson Controls Intl,Lei Zhang Schlitz,Div. VP.,Sell,10500,122.03,1281315,115220.0,2025-11-06,STK,Yes,1
RRBI,Red River Bancshares Inc,Teddy Ray Price,Chair,Buy,1046,65.763,68789,446586.0,2025-11-06,STK,No,1
HCC,Warrior Met Coal Inc,Walter J Scheller,CEO,Sell,18966,75.0,1422450,394183.0,2025-11-06,STK,Yes,1
ENTG,Entegris Inc,Joseph Colella,Gen Cou,Sell,3577,88.41,316242,34364.0,2025-11-06,STK,Yes,1
YUM,Yum! Brands,Scott Mezvinsky,Div. CEO,Sell,1755,148.81,261161,1487.0,2025-11-06,STK,Yes,1
CMPR,Cimpress N.V. Ord,Sean E. Quinn,CFO,Buy,4000,62.7936,251174,36484.0,2025-11-06,STK,Yes,1
PARR,Par Pacific Holdings Inc,Richard Creamer,Div. EVP,Sell,15848,41.22,653255,54654.0,2025-11-06,STK,Yes,1
AER,Aercap Holdings N.V.,Peter Anderson,Chf Com Off.,Sell,197965,133.63,26454062,2021378.1586314156,2025-11-06,STK,Yes,1
TTAN,Servicetitan Inc Cl A,Ara Mahdessian,Chair & CEO,Sell,60805,91.4751,5562143,0.0,2025-11-06,STK,Yes,1
HOWL,Werewolf Therapeutics Inc,Dr Luke Evnin,Chair,Sell,155885,1.2178,189837,3787474.0,2025-11-06,STK,Yes,1
SWK,Stanley Black & Decker Inc,Janet Link,Gen Cou & Sec,Sell,11766,69.0773,812764,0.0,2025-11-06,STK,Yes,1
VTR,Ventas Inc,Peter J Bulgarelli,Div. EVP,Sell,4960,75.0516,372255,111528.0,2025-11-06,STK,Yes,1
BLKB,Blackbaud Inc,Michael P Gianoni,CEO,Sell,15000,60.1267,901901,372985.0,2025-11-06,STK,Yes,1
RCKY,Rocky Brands Inc,Curtis A Loveland,Co Sec,Sell,9556,31.5909,301883,95454.0,2025-11-06,STK,No,1
AXTI,Axt Inc,Gary L Fischer,CFO,Sell,22675,8.8722,201177,463294.0,2025-11-06,STK,Yes,1
ETSY,Etsy Inc,Bradley Minor,CMO,Sell,1986,57.81,114810,7373.0,2025-11-06,STK,Yes,1
NCLH,Norwegian Cruise Ord,Jason M Montague,Chf Off.,Buy,13400,18.8075,252020,65791.0,2025-11-06,STK,Yes,1
CBAN,Colony Bankcorp Inc,Edward G Canup,CBO,Buy,1000,16.075,16075,26542.0,2025-11-06,STK,Yes,1
NCLH,Norwegian Cruise Ord,Harry Sommer,CEO,Buy,25000,18.5173,462932,720728.0,2025-11-06,STK,Yes,1
NCLH,Norwegian Cruise Ord,Mark Kempa,CFO,Buy,10635,18.5285,197050,369352.0,2025-11-06,STK,Yes,1
OHI,Omega Healthcare Investors,Vikas Gupta,Chf Invest Off.,Buy,11500,42.9668,494118,13773.0,2025-11-06,STK,Yes,1
BKV,Bkv Corp,Lindsay B Larrick,CLO,Sell,29187,25.0005,729690,137154.0,2025-11-06,STK,Yes,1
GBCI,Glacier Bancorp Inc,Ryan Thomas Screnar,Chf Adm Off,Buy,979,41.8751,40995,13857.0,2025-11-06,STK,Yes,1
GBCI,Glacier Bancorp Inc,Lee Kenneth Groom,EVP,Buy,2425,41.26,100056,14343.0,2025-11-06,STK,Yes,1
ALV,Autoliv Inc,Petra Albuschus,Div. EVP,Award,328,0.0,39820,647.0,2025-11-06,STK,Yes,1
SOFI,Sofi Technologies Inc,Christopher Lapointe,CFO,Award,276963,0.0,8328278,1637029.0,2025-11-05,STK,Yes,1
SOFI,Sofi Technologies Inc,Anthony Noto,CEO,Award,2142859,0.0,64435770,11347906.0,2025-11-05,STK,Yes,1
ATLX,Atlas Lithium Corp,Marc Fogassa,Chair & CEO,Sell,27272,4.4573,121560,4740348.0,2025-11-05,STK,Yes,1
BE,Bloom Energy Corp Cl A,Maciej Kurzymski,Int CFO & CAO,Sell,13105,144.09,1888300,93269.0,2025-11-05,STK,Yes,1
APGE,Apogee Therapeutics Inc,Carl Dambkowski,Chf Med Off.,Sell,2725,55.0675,150059,282008.0,2025-11-05,STK,Yes,1
